Race,Age,DeathRate
Black,1,0.00079
Black,2,0.00046
Black,3,0.0003
Black,4,0.00025
Black,5,0.00024
Black,6,0.00025
Black,7,0.00019
Black,8,0.00019
Black,9,0.00021
Black,10,0.0002
Black,11,0.00026
Black,12,0.00026
Black,13,0.00038
Black,14,0.00056
Black,15,0.00077
Black,16,0.001
Black,17,0.00151
Black,18,0.00227
Black,19,0.00271
Black,20,0.00264
Black,21,0.00297
Black,22,0.00302
Black,23,0.00315
Black,24,0.00319
Black,25,0.00322
Black,26,0.00319
Black,27,0.00336
Black,28,0.00337
Black,29,0.0033
Black,30,0.00363
Black,31,0.00396
Black,32,0.00392
Black,33,0.00407
Black,34,0.00428
Black,35,0.00411
Black,36,0.00453
Black,37,0.00485
Black,38,0.00486
Black,39,0.00533
Black,40,0.00513
Black,41,0.00575
Black,42,0.0058
Black,43,0.00628
Black,44,0.00671
Black,45,0.00669
Black,46,0.0075
Black,47,0.00773
Black,48,0.00858
Black,49,0.00934
Black,50,0.00947
Black,51,0.00999
Black,52,0.01141
Black,53,0.01216
Black,54,0.0136
Black,55,0.01432
Black,56,0.01517
Black,57,0.01699
Black,58,0.01853
Black,59,0.02021
Black,60,0.02099
Black,61,0.02366
Black,62,0.02547
Black,63,0.02877
Black,64,0.02979
Black,65,0.03104
Black,66,0.03467
Black,67,0.03653
Black,68,0.03941
Black,69,0.04114
Black,70,0.0432
Black,71,0.04487
Black,72,0.04879
Black,73,0.051
Black,74,0.05678
Black,75,0.05611
Black,76,0.06384
Black,77,0.06891
Black,78,0.07399
Black,79,0.07682
Black,80,0.08209
Black,81,0.08938
Black,82,0.09737
Black,83,0.104
Black,84,0.11336
Black,85,0.16336
Black,86,0.16336
Black,87,0.16336
Black,88,0.16336
Black,89,0.16336
Black,90,0.16336
Black,91,0.16336
Black,92,0.16336
Black,93,0.16336
Black,94,0.16336
Black,95,0.16336
Black,96,0.16336
Black,97,0.16336
Black,98,0.16336
Black,99,0.16336
Black,100,0.16336
Hispanic,1,0.00032
Hispanic,2,0.00021
Hispanic,3,0.00018
Hispanic,4,0.00011
Hispanic,5,0.00011
Hispanic,6,0.00009
Hispanic,7,0.0001
Hispanic,8,0.00009
Hispanic,9,0.00009
Hispanic,10,0.00012
Hispanic,11,0.00013
Hispanic,12,0.00015
Hispanic,13,0.00016
Hispanic,14,0.00025
Hispanic,15,0.00036
Hispanic,16,0.00058
Hispanic,17,0.00076
Hispanic,18,0.00106
Hispanic,19,0.00125
Hispanic,20,0.00134
Hispanic,21,0.00145
Hispanic,22,0.00156
Hispanic,23,0.00164
Hispanic,24,0.00166
Hispanic,25,0.00164
Hispanic,26,0.00159
Hispanic,27,0.00176
Hispanic,28,0.00172
Hispanic,29,0.00201
Hispanic,30,0.00198
Hispanic,31,0.00192
Hispanic,32,0.00191
Hispanic,33,0.00202
Hispanic,34,0.00204
Hispanic,35,0.00219
Hispanic,36,0.00223
Hispanic,37,0.00251
Hispanic,38,0.00246
Hispanic,39,0.00272
Hispanic,40,0.00272
Hispanic,41,0.00298
Hispanic,42,0.00307
Hispanic,43,0.00321
Hispanic,44,0.00351
Hispanic,45,0.00367
Hispanic,46,0.00391
Hispanic,47,0.00442
Hispanic,48,0.00484
Hispanic,49,0.00512
Hispanic,50,0.00521
Hispanic,51,0.00616
Hispanic,52,0.00649
Hispanic,53,0.00714
Hispanic,54,0.0079
Hispanic,55,0.00863
Hispanic,56,0.00938
Hispanic,57,0.00992
Hispanic,58,0.01094
Hispanic,59,0.01222
Hispanic,60,0.01217
Hispanic,61,0.01464
Hispanic,62,0.01483
Hispanic,63,0.0163
Hispanic,64,0.01731
Hispanic,65,0.0185
Hispanic,66,0.02054
Hispanic,67,0.02269
Hispanic,68,0.02321
Hispanic,69,0.02515
Hispanic,70,0.02734
Hispanic,71,0.02937
Hispanic,72,0.03064
Hispanic,73,0.03349
Hispanic,74,0.0367
Hispanic,75,0.0398
Hispanic,76,0.04387
Hispanic,77,0.04724
Hispanic,78,0.05151
Hispanic,79,0.05591
Hispanic,80,0.05902
Hispanic,81,0.06345
Hispanic,82,0.07317
Hispanic,83,0.07849
Hispanic,84,0.08617
Hispanic,85,0.13436
Hispanic,86,0.13436
Hispanic,87,0.13436
Hispanic,88,0.13436
Hispanic,89,0.13436
Hispanic,90,0.13436
Hispanic,91,0.13436
Hispanic,92,0.13436
Hispanic,93,0.13436
Hispanic,94,0.13436
Hispanic,95,0.13436
Hispanic,96,0.13436
Hispanic,97,0.13436
Hispanic,98,0.13436
Hispanic,99,0.13436
Hispanic,100,0.13436
White,1,0.00034
White,2,0.00023
White,3,0.00019
White,4,0.00014
White,5,0.00014
White,6,0.0001
White,7,0.0001
White,8,0.00009
White,9,0.00009
White,10,0.00012
White,11,0.00014
White,12,0.00015
White,13,0.00022
White,14,0.00028
White,15,0.00036
White,16,0.0005
White,17,0.00059
White,18,0.00082
White,19,0.00096
White,20,0.00104
White,21,0.00126
White,22,0.00128
White,23,0.00134
White,24,0.00144
White,25,0.00153
White,26,0.00163
White,27,0.00172
White,28,0.00186
White,29,0.00194
White,30,0.00205
White,31,0.0022
White,32,0.00225
White,33,0.00238
White,34,0.00245
White,35,0.00247
White,36,0.00264
White,37,0.00274
White,38,0.0028
White,39,0.00306
White,40,0.00312
White,41,0.00324
White,42,0.00329
White,43,0.00344
White,44,0.00354
White,45,0.00371
White,46,0.00405
White,47,0.00442
White,48,0.00479
White,49,0.00511
White,50,0.00547
White,51,0.00599
White,52,0.00653
White,53,0.00706
White,54,0.00768
White,55,0.00827
White,56,0.00922
White,57,0.00978
White,58,0.01065
White,59,0.01151
White,60,0.01235
White,61,0.01349
White,62,0.01437
White,63,0.01548
White,64,0.01664
White,65,0.0173
White,66,0.01879
White,67,0.01986
White,68,0.0214
White,69,0.02263
White,70,0.02419
White,71,0.02646
White,72,0.02895
White,73,0.03031
White,74,0.03625
White,75,0.03753
White,76,0.04268
White,77,0.04631
White,78,0.05235
White,79,0.05724
White,80,0.06251
White,81,0.06934
White,82,0.07589
White,83,0.08669
White,84,0.09582
White,85,0.16601
White,86,0.16601
White,87,0.16601
White,88,0.16601
White,89,0.16601
White,90,0.16601
White,91,0.16601
White,92,0.16601
White,93,0.16601
White,94,0.16601
White,95,0.16601
White,96,0.16601
White,97,0.16601
White,98,0.16601
White,99,0.16601
White,100,0.16601